#,Flags,Name,Comment,A1 - Rusinga - 05.05.2023_662023_5 : Area,A1 - Rusinga - 05.05.2023_662023_5 : SI,A1 - Rusinga - 05.05.2023_662023_5 : Height,A2 - Rusinga - 05.05.2023_662023_12 : Area,A2 - Rusinga - 05.05.2023_662023_12 : SI,A2 - Rusinga - 05.05.2023_662023_12 : Height,A3 - Rusinga - 05.05.2023_662023_4 : Area,A3 - Rusinga - 05.05.2023_662023_4 : SI,A3 - Rusinga - 05.05.2023_662023_4 : Height,A4 - Rusinga - 05.05.2023_662023_3 : Area,A4 - Rusinga - 05.05.2023_662023_3 : SI,A4 - Rusinga - 05.05.2023_662023_3 : Height,A5 - Rusinga - 10.05.2023_662023_11 : Area,A5 - Rusinga - 10.05.2023_662023_11 : SI,A5 - Rusinga - 10.05.2023_662023_11 : Height,A6 - Rusinga - 10.05.2023_662023_9 : Area,A6 - Rusinga - 10.05.2023_662023_9 : SI,A6 - Rusinga - 10.05.2023_662023_9 : Height,A7 - icipe - 15.05.2023__7202023_14 : Area,A7 - icipe - 15.05.2023__7202023_14 : SI,A7 - icipe - 15.05.2023__7202023_14 : Height,A8 - icipe - 15.05.2023__832023_12 : Area,A8 - icipe - 15.05.2023__832023_12 : SI,A8 - icipe - 15.05.2023__832023_12 : Height,A9 - icipe - 15.05.2023__842023_10 : Area,A9 - icipe - 15.05.2023__842023_10 : SI,A9 - icipe - 15.05.2023__842023_10 : Height,A10 - icipe - 15.05.2023__7202023_10 : Area,A10 - icipe - 15.05.2023__7202023_10 : SI,A10 - icipe - 15.05.2023__7202023_10 : Height,A11 - Siaya - 23.05.2023__7202023_7 : Area,A11 - Siaya - 23.05.2023__7202023_7 : SI,A11 - Siaya - 23.05.2023__7202023_7 : Height,A12 - Siaya - 23.05.2023__832023_6 : Area,A12 - Siaya - 23.05.2023__832023_6 : SI,A12 - Siaya - 23.05.2023__832023_6 : Height,A13 - Siaya - 23.05.2023__842023_13 : Area,A13 - Siaya - 23.05.2023__842023_13 : SI,A13 - Siaya - 23.05.2023__842023_13 : Height,A14 - Siaya - 23.05.2023__7202023_8 : Area,A14 - Siaya - 23.05.2023__7202023_8 : SI,A14 - Siaya - 23.05.2023__7202023_8 : Height,A15 - Siaya - 08.06.2023_832023_10 : Area,A15 - Siaya - 08.06.2023_832023_10 : SI,A15 - Siaya - 08.06.2023_832023_10 : Height,A16 - Siaya - 23.05.2023__842023_7 : Area,A16 - Siaya - 23.05.2023__842023_7 : SI,A16 - Siaya - 23.05.2023__842023_7 : Height,A17 - Siaya - 08.06.2023__832023_17 : Area,A17 - Siaya - 08.06.2023__832023_17 : SI,A17 - Siaya - 08.06.2023__832023_17 : Height,A18 - Siaya - 23.05.2023__842023_5 : Area,A18 - Siaya - 23.05.2023__842023_5 : SI,A18 - Siaya - 23.05.2023__842023_5 : Height,B1 - Rodi - 08.05.2023__7202023_18 : Area,B1 - Rodi - 08.05.2023__7202023_18 : SI,B1 - Rodi - 08.05.2023__7202023_18 : Height,B2 - Rodi - 09.05.2023_832023_4 : Area,B2 - Rodi - 09.05.2023_832023_4 : SI,B2 - Rodi - 09.05.2023_832023_4 : Height,B3 - Rodi - 08.05.2023__842023_3 : Area,B3 - Rodi - 08.05.2023__842023_3 : SI,B3 - Rodi - 08.05.2023__842023_3 : Height,B4 - Rodi - 08.05.2023__842023_12 : Area,B4 - Rodi - 08.05.2023__842023_12 : SI,B4 - Rodi - 08.05.2023__842023_12 : Height,B5 - Rusinga - 10.05.2023_662023_2 : Area,B5 - Rusinga - 10.05.2023_662023_2 : SI,B5 - Rusinga - 10.05.2023_662023_2 : Height,B6 - Rusinga - 10.05.2023_662023_10 : Area,B6 - Rusinga - 10.05.2023_662023_10 : SI,B6 - Rusinga - 10.05.2023_662023_10 : Height,B7 - Rusinga - 10.05.2023_662023_8 : Area,B7 - Rusinga - 10.05.2023_662023_8 : SI,B7 - Rusinga - 10.05.2023_662023_8 : Height,B8 - Rusinga - 10.05.2023_662023_7 : Area,B8 - Rusinga - 10.05.2023_662023_7 : SI,B8 - Rusinga - 10.05.2023_662023_7 : Height,B9 - Lambwe - 11.05.2023__7212023_4 : Area,B9 - Lambwe - 11.05.2023__7212023_4 : SI,B9 - Lambwe - 11.05.2023__7212023_4 : Height,B10 - Lambwe - 11.05.2023__7202023_4 : Area,B10 - Lambwe - 11.05.2023__7202023_4 : SI,B10 - Lambwe - 11.05.2023__7202023_4 : Height,B12 - Lambwe - 11.05.2023__7202023_20 : Area,B12 - Lambwe - 11.05.2023__7202023_20 : SI,B12 - Lambwe - 11.05.2023__7202023_20 : Height,C2 - D.incanum - 22.05.2023__832023_11 : Area,C2 - D.incanum - 22.05.2023__832023_11 : SI,C2 - D.incanum - 22.05.2023__832023_11 : Height,C4 - D.incanum - 22.05.2023__7202023_16 : Area,C4 - D.incanum - 22.05.2023__7202023_16 : SI,C4 - D.incanum - 22.05.2023__7202023_16 : Height,C5 - D.incanum - 22.05.2023__842023_4 : Area,C5 - D.incanum - 22.05.2023__842023_4 : SI,C5 - D.incanum - 22.05.2023__842023_4 : Height,Control1 - Rodi - 08.05.2023__7202023_9 : Area,Control1 - Rodi - 08.05.2023__7202023_9 : SI,Control1 - Rodi - 08.05.2023__7202023_9 : Height,Control2 - Rusinga - 10.05.2023_662023_6 : Area,Control2 - Rusinga - 10.05.2023_662023_6 : SI,Control2 - Rusinga - 10.05.2023_662023_6 : Height,Control3 - Lambwe - 11.05.2023__832023_8 : Area,Control3 - Lambwe - 11.05.2023__832023_8 : SI,Control3 - Lambwe - 11.05.2023__832023_8 : Height,Control4 - Siaya - 23.05.2023__842023_11 : Area,Control4 - Siaya - 23.05.2023__842023_11 : SI,Control4 - Siaya - 23.05.2023__842023_11 : Height,ControlStorage__842023_9 : Area,ControlStorage__842023_9 : SI,ControlStorage__842023_9 : Height,D1 - D.intortum - 22.05.2023_832023_5 : Area,D1 - D.intortum - 22.05.2023_832023_5 : SI,D1 - D.intortum - 22.05.2023_832023_5 : Height,D2 - D.intortum - 22.05.2023__832023_18 : Area,D2 - D.intortum - 22.05.2023__832023_18 : SI,D2 - D.intortum - 22.05.2023__832023_18 : Height,D3 - D.intortum - 22.05.2023__7202023_11 : Area,D3 - D.intortum - 22.05.2023__7202023_11 : SI,D3 - D.intortum - 22.05.2023__7202023_11 : Height,D4 - D.intortum - 22.05.2023__832023_9 : Area,D4 - D.intortum - 22.05.2023__832023_9 : SI,D4 - D.intortum - 22.05.2023__832023_9 : Height,D5 - D.intortum - 22.05.2023__7202023_5 : Area,D5 - D.intortum - 22.05.2023__7202023_5 : SI,D5 - D.intortum - 22.05.2023__7202023_5 : Height,I1 - Maize infested - 05.06.2023__842023_6 : Area,I1 - Maize infested - 05.06.2023__842023_6 : SI,I1 - Maize infested - 05.06.2023__842023_6 : Height,I2 - Maize infested - 05.06.2023__7202023_19 : Area,I2 - Maize infested - 05.06.2023__7202023_19 : SI,I2 - Maize infested - 05.06.2023__7202023_19 : Height,I3 - Maize infested - 05.06.2023__832023_16 : Area,I3 - Maize infested - 05.06.2023__832023_16 : SI,I3 - Maize infested - 05.06.2023__832023_16 : Height,I5 - Maize infested - 05.06.2023__7202023_17 : Area,I5 - Maize infested - 05.06.2023__7202023_17 : SI,I5 - Maize infested - 05.06.2023__7202023_17 : Height,N1 - Maize - 05.06.2023__832023_15 : Area,N1 - Maize - 05.06.2023__832023_15 : SI,N1 - Maize - 05.06.2023__832023_15 : Height,N3 - Maize - 05.06.2023__832023_19 : Area,N3 - Maize - 05.06.2023__832023_19 : SI,N3 - Maize - 05.06.2023__832023_19 : Height,N4 - Maize - 05.06.2023__7202023_15 : Area,N4 - Maize - 05.06.2023__7202023_15 : SI,N4 - Maize - 05.06.2023__7202023_15 : Height,N5 - Maize - 05.06.2023__832023_14 : Area,N5 - Maize - 05.06.2023__832023_14 : SI,N5 - Maize - 05.06.2023__832023_14 : Height
1,,MZ: Feature1,,,,,,67,,,,,,75,,,23,,,62,,,52,,58907,81,8854,28502,80,4043,,57,,,71,,,,,,,,,70,,,43,,,,,,,,,36,,,,,,41,,,44,,,40,,44138,85,8013,,32,,34040,80,6385,20826,83,3950,,,,27242,84,3854,42450,81,6313,,79,,47738,85,6519,,42,,,,,,,,,33,,,40,,,,,43029,88,6678,206586,91,32517,38712,81,5745,84483,90,13631,30242,81,4346,,31,,,,,,56,,,,,,,,,,,,45,,14920,82,2113
2,,MZ: Feature2,,,,,,,,,,,813419,92,159923,,77,,,,,30419,87,6337,52522,89,10059,4052367,99,653187,177170,95,31647,45970,86,8906,,,,,,,493915,92,87445,153951,92,30162,,,,21499,84,3946,,,,,,,130660,86,25121,,,,354073,89,53335,,,,,,,1186768,94,230897,,,,,79,,,,,,,,,,,,,,,80,,34901,83,6258,,0,,111319,93,19175,17127,83,3281,,67,,,,,1307114,90,221547,,,,,,,,,,,78,,43055,86,7935,,79,,,,,28705,86,5754,,,,43858,87,7941,37712,88,7737
3,,2-Pentanone,,,,,,71,,,,,813419,88,159923,,72,,,74,,30419,87,6337,52522,85,10059,4052367,94,653187,177170,93,31647,46413,82,8927,,,,,,,503676,91,87588,153951,89,30162,,,,21499,83,3946,,,,,,,124933,83,24640,,,,358696,89,53378,,,,,,,1186768,90,230897,,,,,77,,,,,,,,,,,105429,81,19285,,74,,34901,85,6258,,55,,111319,92,19175,17127,84,3281,,66,,,,,1307114,90,221547,268953,88,47599,,,,,,,,76,,43055,86,7935,,70,,42932,86,7832,27075,87,5568,50107,85,9848,43858,86,7941,37712,87,7737
4,,Decane,,,52,,,57,,,,,,,,,48,,,,,,78,,75496,90,10050,,,,,,,,49,,,,,,,,85158,84,6783,,,,,,,14189,84,1521,,,,,71,,,72,,,,,,,,,68,,,57,,,60,,,,,,,,,,,,,,,,,,79,,,,,,,,194179,88,19526,,,,,64,,,,,,51,,,51,,,,,,73,,,62,,,46,,33174,89,4009,,,,30071,85,3722,,,,59401,97,7662,30520,87,3874,,56,
5,,.alpha.-Pinene,,,,,,55,,,57,,,48,,,43,,,52,,,30,,,43,,,33,,,29,,,36,,,34,,,32,,,45,,,35,,,36,,,36,,,30,,,35,,,46,,,32,,,46,,,53,,394185,97,68251,,53,,,65,,,,,,34,,,47,,,31,,,,,,,,,,,,63,,,38,,,33,,,,,,26,,,,,,37,,,32,,,42,,,,,,25,,,,,,29,,,,,,34,,,32,,,27,
6,,Hexanal,,50979,81,9393,134055,90,25411,,77,,165883,92,31923,118320,90,22453,78826,91,15329,270317,94,49670,439656,91,83159,268466,92,43401,260185,90,43724,94632,93,15952,,73,,,57,,415219,95,73646,220174,94,34702,,,,43234,92,7038,,40,,,77,,,,,,38,,41721,83,6974,141033,91,27276,118856,91,23429,194407,91,37775,,72,,,71,,39324,89,6750,,76,,229911,91,34452,905197,94,152083,1233302,93,222004,16918,93,2941,281927,94,55559,77821,94,11567,71138,94,9546,,,,231574,94,38800,6547212,96,1264252,514708,94,92787,715048,91,127866,266654,93,44841,,52,,74639,94,11519,65952,94,10161,71562,95,12287,42094,95,9116,146338,96,27633,70761,95,12107,99410,95,16846
7,,.beta.-Pinene,,,,,,,,,,,,,,,,,,,,,67,,,57,,,,,,,,45503,86,8218,14167,81,3036,,28,,,76,,,61,,10560,85,1854,,79,,,,,,,,,,,,,,,72,,,,,79920,92,16780,,64,,,64,,,,,,,,,79,,,30,,,,,,,,,,,,,,18757,91,3636,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,MZ: 3-Pentanol,,9517,94,2354,13686,94,3141,39231,97,8631,40988,97,9224,13618,95,3045,23031,95,4953,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,10958,87,2346,,,,4541,88,1303,7707,89,2037,4134,83,1171,10923,94,3247,24357,96,6770,5024,91,1507,,,,8081,89,1848,41310,96,10019,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,MZ: Undecane,,,,,,74,,,70,,,56,,,72,,,62,,,,,477527,95,67340,,78,,,67,,,,,,77,,,,,,68,,68884,93,8514,,,,,77,,,32,,55285,84,6625,49704,88,6130,,,,,,,,,,,68,,53201,88,9251,24374,87,4125,,51,,,62,,,50,,,,,,,,,56,,17537,84,2614,99687,89,17928,17171,86,2538,35271,94,4690,,,,,,,,,,,,,,,,,71,,,,,63921,95,7985,51543,93,5308,36699,93,4719,61289,94,6499,68032,94,7401,39959,94,4901,,80,
10,,MZ: Sabinene,,,,,,,,,65,,,62,,,,,,75,,,72,,1816382,99,256496,,0,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,16633,91,4821,37581,94,10573,43711,92,12747,,69,,,,,,,,1459181,98,197058,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Isoamyl acetate,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,317138,80,38768,105817,82,23182,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,
12,,MZ: Feature3,,226135,92,54721,216427,90,54263,,70,,,65,,,0,,,57,,,0,,,,,270063,88,54141,,0,,346331,92,70613,241035,92,47698,,0,,800840,87,160290,103627,84,20514,,66,,24370,81,5066,,,,1028981,85,179065,1117362,90,256094,331224,91,72905,234192,91,55321,134578,82,31459,152428,82,34668,199277,78,44245,197630,75,46530,,63,,,28,,,,,,61,,,0,,104240,81,22176,,68,,114210,88,27130,16928,73,3252,36287,81,7089,,20,,61165,86,13344,,66,,203651,87,44303,44757,68,9145,46278,72,9003,,58,,50094,83,10321,52727,86,11013,33403,81,6696,28129,81,5473,67929,90,16078,22794,78,5087,22843,78,4966
13,,p-xylene,,117300,97,30575,122935,96,32354,8406,84,2419,,72,,,0,,,0,,,0,,26453,81,5739,144404,95,34569,,0,,242088,93,53782,173966,89,38423,,49,,,0,,55834,85,12697,,0,,17000,84,4376,,,,,0,,685769,95,170357,206445,97,52227,158541,97,38722,66647,95,17309,67388,95,17773,93003,96,23854,100470,95,26468,,0,,,0,,,0,,,0,,587873,95,96204,91015,91,22341,,0,,65850,94,15965,11033,77,2754,20588,83,5295,,,,52630,87,12449,88528,84,20647,182206,93,41474,39431,85,9113,35376,84,8624,,32,,44457,86,10443,47726,86,10642,29863,86,7293,,0,,63095,95,15905,21529,81,5278,19865,84,4588
14,,MZ: Feature4,,289971,93,65911,313980,96,71307,,0,,,73,,24797,92,5670,18736,89,4180,42432,90,7643,,77,,351256,96,64958,46589,88,7587,624215,97,110617,481698,96,83365,1501194,67,344330,1397315,93,238820,144190,96,24967,20052,84,3304,48068,91,8839,,,,1550079,95,251917,2027876,96,400876,580532,98,112682,431380,98,83999,144964,68,32219,146385,95,34275,189104,93,40979,215280,93,48258,9046,86,2011,11374,82,2147,278534,97,42417,49572,87,8287,604574,92,97054,310548,96,55997,10128,86,2064,255529,91,61441,32603,92,5485,67516,93,11707,,,,158650,83,30027,238096,58,52032,472023,95,86382,116721,85,21387,122110,85,19475,,32,,127908,95,21270,125775,97,22470,91282,96,14538,69097,93,9266,155497,97,33373,60217,94,10052,53847,94,9300
15,,m-xylene,,,0,,,0,,,0,,,61,,,0,,,0,,,0,,,77,,,0,,,0,,,0,,,0,,,55,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
