File name,Comment y/n,Date,Cage,Position,BatchNo,Day,EggNo,File,Uncertainty,Comment
NoComment_20230522_A2_CloseMaize_1_Day1_50Eggs,NoComment,20230522,A2,CloseMaize,1,Day1,53,tif,Count Difference,Three eggs forgotten
NoComment_20230522_A2_Maize_1_Day2_239Eggs,NoComment,20230522,A2,Maize,1,Day2,239,tif,,
NoComment_20230522_A2_Maize_4_Day1_315Eggs,NoComment,20230522,A2,Maize,4,Day1,319,tif,Count Difference,Four eggs forgotten
NoComment_20230522_A2_Maize_5_Day1_412Eggs,NoComment,20230522,A2,Maize,5,Day1,412,tif,,
NoComment_20230522_A2_Maize_6_Day2_165Eggs,NoComment,20230522,A2,Maize,6,Day2,166,tif,Count Difference,One egg forgotten
NoComment_20230522_A2_Maize_7_Day2_115Eggs,NoComment,20230522,A2,Maize,7,Day2,115,tif,Faint Particles,
NoComment_20230522_A2_Maize_8_Day3_37Eggs,NoComment,20230522,A2,Maize,8,Day3,37,tif,,
NoComment_20230522_A2_Maize_9_Day3_76Eggs,NoComment,20230522,A2,Maize,9,Day3,76,tif,,
NoComment_20230522_A2_Maize_2-3_Day1_133Eggs,NoComment,20230522,A2,Maize,2-3,Day1,133,tif,,
Comment_20230522_B1_Des_1_Day2_239Eggs,Comment,20230522,B1,Des,1,Day2,239,tif,,
NoComment_20230522_B1_Des_2_Day2_158Eggs,NoComment,20230522,B1,Des,2,Day2,158,tif,,
NoComment_20230522_B1_Des_3_Day2_233Eggs,NoComment,20230522,B1,Des,3,Day2,233,tif,,
NoComment_20230522_B1_Des_4_Day_154Eggs,NoComment,20230522,B1,Des,4,Day,154,tif,,
NoComment_20230522_B1_Des_5_Day_49Eggs,NoComment,20230522,B1,Des,5,Day,49,tif,Small Cluster,
Comment_20230522_B1_Des_6_Day3_185Eggs,Comment,20230522,B1,Des,6,Day3,185,tif,Small Cluster,
NoComment_20230522_B1_Des_7_Day3_33Eggs,NoComment,20230522,B1,Des,7,Day3,33,tif,,
NoComment_20230522_B1_Des_8_Day3_161Eggs,NoComment,20230522,B1,Des,8,Day3,161,tif,,
NoComment_20230522_B1_Des_9_Day3_279Eggs,NoComment,20230522,B1,Des,9,Day3,279,tif,,
Comment_20230522_B1_Maize_1_Day1_708Eggs,Comment,20230522,B1,Maize,1,Day1,708,tif,,
NoComment_20230522_B1_Maize_2_Day2_28Eggs,NoComment,20230522,B1,Maize,2,Day2,28,tif,,
NoComment_20230522_B1_Maize_3_Day2_170Eggs,NoComment,20230522,B1,Maize,3,Day2,170,tif,,
NoComment_20230522_B1_Maize_4_Day3_28Eggs,NoComment,20230522,B1,Maize,4,Day3,28,tif,,
Comment_20230522_B1_Maize_5_Day3_271Eggs,Comment,20230522,B1,Maize,5,Day3,271,tif,Small Cluster,
NoComment_20230522_B1_Maize_6_Day3_131Eggs,NoComment,20230522,B1,Maize,6,Day3,131,tif,,
NoComment_20230522_B2_Des_1_Day1_253Eggs,NoComment,20230522,B2,Des,1,Day1,253,tif,,
Comment_20230522_B2_Maize_1_Day1_131Eggs,Comment,20230522,B2,Maize,1,Day1,131,tif,Big Cluster,
Comment_20230522_B2_Maize_2_Day1_136Eggs,Comment,20230522,B2,Maize,2,Day1,136,tif,Eggs Dried,
Comment_20230522_C1_Left_1_537Eggs,Comment,20230522,C1,Left,1,,537,tif,Big Cluster,
NoComment_20230522_C1_Left_2_131Eggs,NoComment,20230522,C1,Left,2,,131,tif,,
Comment_20230522_C1_NoDecision_1_Day1_33Eggs,Comment,20230522,C1,NoDecision,1,Day1,33,tif,Faint Particles,
Comment_20230522_C1_Right_1_Day3_217Eggs,Comment,20230522,C1,Right,1,Day3,217,tif,Cluster,
Comment_20230522_C1_Right_2_Day3_167Eggs,Comment,20230522,C1,Right,2,Day3,167,tif,Cluster,
Comment_20230522_C1_Right_3_Day3_377Eggs,Comment,20230522,C1,Right,3,Day3,377,jpg,Big Cluster,
Comment_20230522_C1_Right_4_Day3_179Eggs,Comment,20230522,C1,Right,4,Day3,179,jpg,Small Cluster,
Comment_20230522_C1_Right_5_Day3_192Eggs,Comment,20230522,C1,Right,5,Day3,192,jpg,Small Cluster,
