Location in Wind Tunnel,LocationMaizeDes,Clock,Date,Treatment,Repetition,Treatment Left,Treatment Right,Responding,Comment,Video Save Time,Determination via Video
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:08:26,6/14/2023,Control,B1,Maize,Maize,Yes,-,20230614_192958,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:08:27,6/14/2023,Control,B1,Maize,Maize,Yes,-,20230614_192958,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),4/18/2024 11:08:28,6/14/2023,Control,B1,Maize,Maize,Yes,-,20230614_192958,Yes
Right (30cm-50cm),Right (30cm-50cm),4/18/2024 11:08:29,6/14/2023,Control,B1,Maize,Maize,Yes,-,20230614_192958,Yes
End,End,4/18/2024 11:13:43,6/14/2023,Control,B1,Maize,Maize,Yes,-,20230614_192958,Yes
Left (30cm-50cm),Left (30cm-50cm),4/18/2024 11:14:33,6/14/2023,Control,B2,Maize,Maize,Yes,-,20230614_195139,Yes
Left (30cm-50cm),Left (30cm-50cm),4/18/2024 11:14:45,6/14/2023,Control,B2,Maize,Maize,Yes,-,20230614_195139,Yes
End,End,4/18/2024 11:19:40,6/14/2023,Control,B2,Maize,Maize,Yes,-,20230614_195139,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:24:03,6/14/2023,Control,B3,Maize,Maize,Yes,-,20230614_201015,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:24:05,6/14/2023,Control,B3,Maize,Maize,Yes,-,20230614_201015,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 11:24:10,6/14/2023,Control,B3,Maize,Maize,Yes,-,20230614_201015,Yes
End,End,4/18/2024 11:29:07,6/14/2023,Control,B3,Maize,Maize,Yes,-,20230614_201015,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/13/2023 23:11:40,6/14/2023,Control,B5,Maize,Maize,Yes,-,20230614_210106,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/13/2023 23:11:43,6/14/2023,Control,B5,Maize,Maize,Yes,-,20230614_210106,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/13/2023 23:12:11,6/14/2023,Control,B5,Maize,Maize,Yes,-,20230614_210106,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/13/2023 23:12:12,6/14/2023,Control,B5,Maize,Maize,Yes,-,20230614_210106,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/13/2023 23:12:13,6/14/2023,Control,B5,Maize,Maize,Yes,-,20230614_210106,Yes
Left (30cm-50cm),Left (30cm-50cm),8/13/2023 23:12:14,6/14/2023,Control,B5,Maize,Maize,Yes,-,20230614_210106,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/13/2023 23:12:16,6/14/2023,Control,B5,Maize,Maize,Yes,-,20230614_210106,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/13/2023 23:12:19,6/14/2023,Control,B5,Maize,Maize,Yes,-,20230614_210106,Yes
