Treatment;Date;RepetitionNo;WingFanning;Walking;TakeOff;UpwindFlight;MovementsForward;DistanceForward;MovementsBackward;DistanceBackward;NoSourceApproaches;InitialDistance;LandingDistance;Response;Comment
Control;25.11.2024;1;Yes;Yes;Yes;Yes;3;30, 50, 115;2;50, 30;2;50;115;yes;
Control;25.11.2024;2;Yes;Yes;Yes;Yes;1;115;2;50, 40;1;115;25;yes;
Control;25.11.2024;3;Yes;Yes;Yes;Yes;8;45, 115, 115, 40, 75, 45, 20;5;45, 115, 115, 115, 45;4;45;20;yes;
Control;25.11.2024;4;Yes;Yes;Yes;Yes;2;20, 5;1;20;0;20;5;yes;
Control;25.11.2024;5;Yes;Yes;Yes;Yes;1;60;0;0;0;60;60;yes;Moth not visible
Control;25.11.2024;6;Yes;Yes;No;No;0;0;0;0;0;0;0;yes;
Control;25.11.2024;7;Yes;Yes;No;No;0;0;0;0;0;0;0;yes;
Control;25.11.2024;8;Yes;Yes;Yes;Yes;3;50, 20, 65;1;20;1;50;115;yes;
Control;25.11.2024;9;Yes;Yes;Yes;Yes;1;115;0;0;0;15;15;yes;
Control;25.11.2024;10;Yes;Yes;Yes;Yes;1;50;0;0;0;50;50;yes;Moth not visible
Control;25.11.2024;11;Yes;Yes;Yes;Yes;2;5, 12;0;0;0;5;17;yes;
Control;25.11.2024;12;Yes;Yes;Yes;Yes;2;40, 50;1;40;0;40;50;yes;
Control;25.11.2024;13;Yes;Yes;Yes;Yes;3;80, 35, 3;1;115;1;80;3;yes;
Control;25.11.2024;14;Yes;Yes;Yes;Yes;1;20, 40;1;10;0;20;50;yes;
Control;25.11.2024;15;Yes;Yes;Yes;Yes;1;30;0;0;0;30;30;yes;Moth not visible
Control;25.11.2024;16;Yes;Yes;Yes;Yes;1;55;1;15;0;55;40;yes;
Control;25.11.2024;17;Yes;No;No;No;0;0;0;0;0;0;0;yes;Moth not visible
Control;25.11.2024;18;Yes;Yes;Yes;Yes;2;30, 10;0;0;0;30;40;yes;
Control;25.11.2024;19;Yes;Yes;Yes;Yes;2;35, 10;1;20;0;35;25;yes;
Control;25.11.2024;20;Yes;Yes;No;No;1;3;0;0;0;3;3;yes;
Maize;26.11.2024;1;Yes;Yes;Yes;Yes;1;25;1;25;0;25;0;yes;
Maize;26.11.2024;2;Yes;Yes;Yes;Yes;3;35, 40, 30;0;0;1;35;115;yes;
Maize;26.11.2024;3;Yes;Yes;Yes;Yes;1;50;1;50;0;50;0;yes;
Maize;26.11.2024;4;Yes;Yes;Yes;Yes;3;115, 20, 15;3;20, 15, 115;3;115;0;yes;
Maize;26.11.2024;5;No;No;No;No;0;0;0;0;0;0;0;no;
Maize;26.11.2024;6;Yes;Yes;Yes;Yes;2;55, 30;0;0;1;55;85;yes;
Maize;26.11.2024;7;Yes;Yes;No;No;1;25;0;0;0;25;25;yes;
Maize;26.11.2024;8;Yes;Yes;Yes;Yes;2;45, 60;0;0;1;45;115;yes;
Maize;26.11.2024;9;No;No;No;No;0;0;0;0;0;0;0;no;
Maize;26.11.2024;10;Yes;No;No;No;0;0;0;0;0;0;0;yes;
Maize;26.11.2024;11;Yes;Yes;Yes;No;1;55;0;0;0;55;55;yes;Moth not visible
Maize;26.11.2024;12;Yes;Yes;Yes;Yes;3;80, 35, 20;1;85;1;80;50;yes;
Maize;26.11.2024;13;No;No;No;No;0;0;0;0;0;0;0;no;
Maize;26.11.2024;14;Yes;Yes;Yes;Yes;2;10, 55;1;15;0;10;50;yes;
Maize;26.11.2024;15;Yes;Yes;Yes;Yes;5;40, 65, 20, 55, 115;3;20, 100, 30, 30, 60;3;40;55;yes;
Maize;26.11.2024;16;Yes;Yes;Yes;Yes;2;30, 20;0;0;0;30;50;yes;
Maize;26.11.2024;17;No;No;No;No;0;0;0;0;0;0;0;no;
Maize;26.11.2024;18;Yes;Yes;Yes;Yes;2;30, 85;0;0;1;30;115;yes;
Maize;26.11.2024;19;No;No;No;No;0;0;0;0;0;0;0;no;
Maize;26.11.2024;20;Yes;Yes;Yes;Yes;3;40, 50, 100;1;90;2;40;100;yes;
Maize;26.11.2024;21;No;No;No;No;0;0;0;0;0;0;0;no;
