Start Date;End Date;Label;Location;Field Name;Field Coordinates;Intercropped with Vegetable;Species;Air inlet [L/min];Flow evening with tube;Flow morning with tube;Entrainment Kit;Sampling Time Start;Sampling Time End;Tube Manufacturer;Tube Serial No;Comment;NameAnalysisFile;;
22.05.2023;23.05.2023;C1;Pot;;;;D. incanum;1;196.3;163.9;99;19:00;06:35;Markes new ;676313;;C1 - D.incanum - 22.05.2023;;
22.05.2023;23.05.2023;C2;Pot;;;;D. incanum;1;196.2;202.8;99;19:00;06:35;Markes new ;676328;;C2 - D.incanum - 22.05.2023;;
22.05.2023;23.05.2023;C3;Pot;;;;D. incanum;1;201.3;210.9;98;19:00;06:35;Merck ;675245;;C3 - D.incanum - 22.05.2023;;
22.05.2023;23.05.2023;C4;Pot;;;;D. incanum;1;196.5;208.6;98;19:00;06:35;Merck ; A080385;;C4 - D.incanum - 22.05.2023;;
22.05.2023;23.05.2023;C5;Pot;;;;D. incanum;1;198.7;174;100;19:00;06:35;Markes old ;675244;;C5 - D.incanum - 22.05.2023;;
22.05.2023;23.05.2023;D1;Pot;;;;D. intortum;1;195.4;202.6;145;19:00;06:35;Markes new ;676326;;D1 - D.intortum - 22.05.2023;;
22.05.2023;23.05.2023;D2;Pot;;;;D. intortum;1;198.8;203.8;145;19:00;06:35;Merck ; A079038;;D2 - D.intortum - 22.05.2023;;
22.05.2023;23.05.2023;D3;Pot;;;;D. intortum;1;203.1;241.6;147;19:00;06:35;Markes new ;676321;;D3 - D.intortum - 22.05.2023;;
22.05.2023;23.05.2023;D4;Pot;;;;D. intortum;1;201.9;200.2;147;19:00;06:35;Merck ; A079597;;D4 - D.intortum - 22.05.2023;;
22.05.2023;23.05.2023;D5;Pot;;;;D. intortum;1;206.1;189.77;100;19:00;06:35;Markes old ;675492;;D5 - D.intortum - 22.05.2023;;
05.06.2023;06.06.2023;N1;Pot;;;;Maize;1;201.4;206.7;145 or 147;19:00;07:12;;;;N1 - Maize - 05.06.2023;;
05.06.2023;06.06.2023;N2;Pot;;;;Maize;1;200.1;209.9;145 or 147;19:00;07:12;;;;N2 - Maize - 05.06.2023;;
05.06.2023;06.06.2023;N3;Pot;;;;Maize;1;201.6;200.3;145 or 147;19:00;07:12;;;;N3 - Maize - 05.06.2023;;
05.06.2023;06.06.2023;N4;Pot;;;;Maize;1;200.2;201.9;145 or 147;19:00;07:12;;;;N4 - Maize - 05.06.2023;;
05.06.2023;06.06.2023;N5;Pot;;;;Maize;1;207.1;202.6;99 or 98;19:00;07:12;;;;N5 - Maize - 05.06.2023;;
05.06.2023;06.06.2023;I1;Pot;;;;Maize infested;1;210.5;206.9;99 or 98;19:00;07:12;;;;I1 - Maize infested - 05.06.2023;;
05.06.2023;06.06.2023;I2;Pot;;;;Maize infested;1;204.7;206.3;99 or 98;19:00;07:12;;;;I2 - Maize infested - 05.06.2023;;
05.06.2023;06.06.2023;I3;Pot;;;;Maize infested;1;202.2;200.1;99 or 98;19:00;07:12;;;;I3 - Maize infested - 05.06.2023;;
05.06.2023;06.06.2023;I4;Pot;;;;Maize infested;1;201;202.2;123 & 146;19:00;07:12;;;Due to faulty parts in some kits, the air inlet was run by the Kit 146, while the air outlet was run by Kit 123;I4 - Maize infested - 05.06.2023;;
05.06.2023;06.06.2023;I5;Pot;;;;Maize infested;1;203.2;203.2;123 & 146;19:00;07:12;;;Due to faulty parts in some kits, the air inlet was run by the Kit 146, while the air outlet was run by Kit 123;I5 - Maize infested - 05.06.2023;;
04.05.2023;05.05.2023;A1;Field;Rusinga - Tom&Roskhadir Okitch;-0.382096, 34.175487;No;D. incanum;0.6;No data;No data;00:00;18:55;06:30;Markes new ;676329;;A1 - Rusinga - 04.05.2023;;
09.05.2023;10.05.2023;B8;Field;Rusinga - Tom&Roskhadir Okitch;-0.382096, 34.175487;Cowpea (no direct contact with samples);D. intortum;0.8;210.6;No data;00:00;18:55;06:35;Markes (new) ;676307;Little moisture inside the tube, which was wiped away with a kitchen towel.;B8 - Rusinga - 09.05.2023;;
08.05.2023;09.05.2023;B1;Field;Rodi - Pamela Otieno;-0.6302736, 34.494595;Kales (no direct contact with samples);D. intortum;1;184.7;No data;00:00;18:55;06:30;Markes new ;676327;Little moisture inside the tube, which was wiped away with a kitchen towel.;B1 - Rodi - 08.05.2023;;
23.05.2023;24.04.2023;A11;Field;Siaya - Paskalia Shikuku;0.189913, 34.36056;Cowpea (no direct contact with samples);D. incanum;1;No Data;195.9;Unknown;19:00;06:40;Markes new ;575247;;A11 - Siaya - 23.05.2023;;
15.05.2023;16.05.2023;A10;Field;icipe campus;-0.428579, 34.207884;Cowpea (no direct contact with samples);D. incanum;1;206.5;207.1;00:00;19:10;06:35;Merck ; A080378;;A10 - icipe - 15.05.2023;;
09.05.2023;10.05.2023;B5;Field;Rusinga - Tom&Roskhadir Okitch;-0.382096, 34.175487;Cowpea (direct next to the sample);D. intortum;1;196.7;No data;00:00;18:55;06:35;Markes (old) ;675243;Little moisture inside the tube, which was wiped away with a kitchen towel.;B5 - Rusinga - 09.05.2023;;
07.06.2023;08.06.2023;A15;Field;Siaya - Paskalia Shikuku;0.189913, 34.36056;Cowpea (no direct contact with samples);D. incanum;1;200.3;208.7;00:00;19:04;06:45;Markes new;;;A15 - Siaya - 23.05.2023;;
09.05.2023;10.05.2023;A5;Field;Rusinga - Tom&Roskhadir Okitch;-0.382096, 34.175487;No;D. incanum;1;221.6;No data;00:00;18:55;06:35;Markes (new) ;676324;Little moisture inside the tube, which was wiped away with a kitchen towel.;A5 - Rusinga - 09.05.2023;;
11.05.2023;12.05.2023;B10;Field;Lambwe - Samwel Sana;-0.551479, 34.314673;No;D. intortum;1;205.6;;00:00;18:55;06:40;Markes new ;676310;;B10 - Lambwe - 11.05.2023;;
15.05.2023;16.05.2023;A7;Field;icipe campus;-0.428579, 34.207884;Cowpea (no direct contact with samples);D. incanum;1;202;208.4;00:00;19:15;06:35;Markes old ;675248;;A7 - icipe - 15.05.2023;;
08.05.2023;09.05.2023;B2;Field;Rodi - Pamela Otieno;-0.6302736, 34.494595;Kales (no direct contact with samples);D. intortum;1;No data;No data;00:00;18:55;06:30;Merck ; A080883;Little moisture inside the tube, which was wiped away with a kitchen towel.;B2 - Rodi - 08.05.2023;;
